"abbpop","orange","orange_yellow","white","yellow","totalN","freqO","freqW","freqY","freqOY","morph_no","Latitude","Longitude","Green","sample_sizeG","black","sample_sizeB","lineage"
"PSL",0,0,48,0,48,0,1,0,0,1,42.2503,12.8415,5.53333333333333,30,0.425606855727949,30,"IT"
"PSO",0,0,12,0,12,0,1,0,0,1,44.4509,9.4252,6.875,8,0.305987461851894,8,"SA"
"PT",0,0,32,0,32,0,1,0,0,1,44.00775,10.803696,4.6,15,0.396,15,"Hybrid"
"PV",0,0,22,0,22,0,1,0,0,1,44.33314,11.18937,5.72727272727273,12,0.3890925,12,"IT"
"PX",1,0,31,0,32,0.03125,0.96875,0,0,2,42.186729,12.997068,4.5,12,0.295831849775125,12,"IT"
"PZ",0,0,20,0,20,0,1,0,0,1,44.4435277777777,9.42063888888888,8.1,10,0.257550218563725,10,"SA"
"PZS",1,0,9,0,10,0.1,0.9,0,0,2,42.1575,12.963,4.22222222222222,9,0.335781481901697,9,"IT"
"QC",0,0,27,0,27,0,1,0,0,1,43.4493517,10.3892041,8.75,16,0.61136430199132,16,"IT"
"QM",0,0,11,0,11,0,1,0,0,1,44.03383611,10.2825,3.5,8,0.429721224258222,8,"Hybrid"
"RA",0,0,39,0,39,0,1,0,0,1,44.349446,9.233821,8.14814814814815,28,0.326875,28,"SA"
"RF",0,1,20,0,21,0,0.952380952380952,0,0.0476190476190476,1,44.472722124,9.45895201859,2.57142857142857,14,0.29123355760463,14,"SA"
"RG",0,0,25,0,25,0,1,0,0,1,44.169859,10.347005,4.53846153846154,13,0.346153846153846,13,"Hybrid"
"RI",0,0,26,0,26,0,1,0,0,1,42.3989,12.8505,4.46666666666667,15,0.355988754857918,15,"IT"
"RM",0,0,25,0,25,0,1,0,0,1,44.427781,9.317093,6.8125,16,0.313823082221829,16,"SA"
"RN",0,0,23,0,23,0,1,0,0,1,44.0046342,10.2729825,6.5625,16,0.370217596704016,16,"Hybrid"
"RO",0,0,18,0,18,0,1,0,0,1,41.858634,12.544189,9,8,0.53515,8,"IT"
"RT",0,0,23,2,25,0,0.92,0.08,0,2,44.472868,9.199563,5.625,16,0.424666666666667,16,"SA"
"SA",6,0,16,6,28,0.214285714285714,0.571428571428571,0.214285714285714,0,3,44.547268,9.451386,3.23076923076923,13,0.223846153846154,13,"SA"
"SAR",0,0,20,0,20,0,1,0,0,1,43.0743113,12.1205807,7.38461538461539,13,0.377457304244935,13,"IT"
"SCN",0,0,21,1,22,0,0.954545454545455,0.0454545454545455,0,2,42.1676,12.8204,5.76923076923077,13,0.351116302451885,13,"IT"
"SD",0,0,24,1,25,0,0.96,0.04,0,2,44.68643,8.672888,2.46666666666667,15,0.222,15,"SA"
"SF",0,0,26,0,26,0,1,0,0,1,42.8324,11.5846,5.92857142857143,14,0.315744810229867,14,"IT"
"SL",0,0,41,0,41,0,1,0,0,1,44.271417,9.409446,8.1,20,0.399230769230769,20,"SA"
"SM",1,0,22,6,29,0.0344827586206897,0.758620689655172,0.206896551724138,0,3,44.390615,8.515482,4.14285714285714,14,0.345,14,"SA"
"SMA",0,0,46,0,46,0,1,0,0,1,42.0703218,11.9543266,9.04347826086956,23,0.457291591390083,23,"IT"
