"abbpop","orange","orange_yellow","white","yellow","totalN","freqO","freqW","freqY","freqOY","morph_no","Latitude","Longitude","lineage","Source","Green","sample_sizeG","black","sample_sizeB","fixed_brown","Notes"
"FDM",0,0,22,0,22,0,1,0,0,1,43.958,10.1673,"Hybrid","Feiner_Uller",6.5,16,0.351376269872004,16,NA,NA
"FG",21,0,31,1,53,0.39622641509434,0.584905660377358,0.0188679245283019,0,3,42.278601,13.188891,"IT","Feiner_Uller",2.08333333333333,24,0.228815624219722,24,NA,NA
"FM",2,0,29,2,33,0.0606060606060606,0.878787878787879,0.0606060606060606,0,3,44.165611,10.638823,"Hybrid","Feiner_Uller",3.375,16,0.25560625,16,NA,NA
"FO",0,0,27,0,27,0,1,0,0,1,41.413293,12.904334,"IT","Feiner_Uller",8.42857142857143,14,0.637128571428571,14,NA,NA
"FU",0,0,70,0,70,0,1,0,0,1,41.723363,12.306088,"IT","Feiner_Uller",9.52173913043478,47,0.690634920838268,47,NA,NA
"GC",0,0,64,0,64,0,1,0,0,1,43.58758,11.31481,"IT","Feiner_Uller",7.14814814814815,27,0.505909090909091,27,NA,NA
"GN",0,0,27,0,27,0,1,0,0,1,44.383538,9.045951,"SA","Feiner_Uller",7.23076923076923,13,0.259230769230769,13,NA,NA
"GO",0,0,27,0,27,0,1,0,0,1,44.290995,9.673241,"SA","Feiner_Uller",4.4375,16,0.339375,16,NA,NA
"GR",0,0,22,0,22,0,1,0,0,1,44.191791,10.106418,"Hybrid","Feiner_Uller",4.3,20,0.297894736842105,20,NA,NA
"GS",0,0,21,0,21,0,1,0,0,1,42.224,12.8439,"IT","Feiner_Uller",5.42857142857143,14,0.31695442705644,14,NA,NA
"IMM",1,0,28,3,32,0.03125,0.875,0.09375,0,3,44.46192,9.48231,"SA","Feiner_Uller",4.11111111111111,18,0.286191342907315,18,NA,NA
"IS",0,0,27,0,27,0,1,0,0,1,44.06614,10.3145994,"Hybrid","Feiner_Uller",4.05882352941176,17,0.317861648229122,17,NA,NA
"LC",0,0,37,0,37,0,1,0,0,1,41.990753,12.651613,"IT","Feiner_Uller",9.125,27,0.646846666666667,27,NA,NA
"LE",1,0,108,0,109,0.00917431192660551,0.990825688073395,0,0,2,44.168614,9.610654,"SA","Feiner_Uller",5.90909090909091,66,0.381222002402652,66,NA,NA
"LO",3,0,4,5,12,0.25,0.333333333333333,0.416666666666667,0,3,44.129588,8.256791,"SA","Feiner_Uller",1,5,0.21,5,"Y",NA
"LS",9,0,31,4,44,0.204545454545455,0.704545454545455,0.0909090909090909,0,3,42.253995,13.052055,"IT","Feiner_Uller",3.4375,32,0.238784004462088,32,NA,NA
"LV",0,0,34,0,34,0,1,0,0,1,44.0232,10.288,"Hybrid","Feiner_Uller",5.72222222222222,18,0.321379507899456,18,NA,NA
"LVF",1,0,28,0,29,0.0344827586206897,0.96551724137931,0,0,2,44.0251265288,10.2798143083,"Hybrid","Feiner_Uller",5.5,18,0.285000728705896,18,NA,NA
"MA",0,0,29,0,29,0,1,0,0,1,42.6534676,11.1032295,"IT","Feiner_Uller",7.73684210526316,19,0.384573684210526,19,NA,NA
"MAZ",0,0,24,0,24,0,1,0,0,1,42.1044633,12.0990801,"IT","Feiner_Uller",7.76923076923077,13,0.370023076923077,13,NA,NA
"MB",0,0,14,0,14,0,1,0,0,1,42.1337,12.7492,"IT","Feiner_Uller",7.1,10,0.467032093869225,10,NA,NA
"MDL",1,0,15,0,16,0.0625,0.9375,0,0,2,43.7393,10.3801,"IT","Feiner_Uller",8.33333333333333,9,0.472703348513066,9,NA,NA
"ME",0,0,26,2,28,0,0.928571428571429,0.0714285714285714,0,2,44.443159,8.748019,"SA","Feiner_Uller",4.9375,16,0.3125,16,NA,NA
"MF",0,0,43,1,44,0,0.977272727272727,0.0227272727272727,0,2,42.102974,12.826475,"IT","Feiner_Uller",5.89285714285714,28,0.432745604488829,28,NA,NA
"MG",0,0,32,0,32,0,1,0,0,1,44.01215,10.161607,"Hybrid","Feiner_Uller",5.72727272727273,23,0.271578947368421,23,NA,NA
"ML",1,0,17,2,20,0.05,0.85,0.1,0,3,45.77502,12.61037,NA,"Feiner_Uller",1.4,11,0.203545454545455,11,NA,NA
"MM",1,0,21,0,22,0.0454545454545455,0.954545454545455,0,0,2,42.99218,11.06385,"IT","Feiner_Uller",6.75,8,0.46625,8,NA,NA
"MN",0,0,57,0,57,0,1,0,0,1,42.2285,12.8662,"IT","Feiner_Uller",5.25714285714286,35,0.374121678888916,35,NA,NA
"MOA",1,0,24,0,25,0.04,0.96,0,0,2,42.3278868,11.5854692,"IT","Feiner_Uller",8,16,0.36405625,16,NA,NA
"MOB",0,0,21,3,24,0,0.875,0.125,0,2,44.46779283,9.43245873,"SA","Feiner_Uller",5.11764705882353,17,0.25818716351884,17,NA,NA
"MOI",0,0,38,1,39,0,0.974358974358974,0.0256410256410256,0,2,44.4637222222222,9.42746111111111,"SA","Feiner_Uller",6.04166666666667,24,0.349736177964264,24,NA,NA
"MOP",0,0,14,0,14,0,1,0,0,1,44.4825567827,9.48342619266,"SA","Feiner_Uller",2,7,0.329081243899629,7,NA,NA
"MP",0,0,34,0,34,0,1,0,0,1,44.09263,11.162579,"IT","Feiner_Uller",4,18,0.358888888888889,18,NA,NA
"MR",1,0,11,0,12,0.0833333333333333,0.916666666666667,0,0,2,42.136,12.8079,"IT","Feiner_Uller",7.66666666666667,6,0.500591755303154,6,NA,NA
"MT",0,0,19,0,19,0,1,0,0,1,43.894144,10.790448,"IT","Feiner_Uller",7.28571428571429,14,0.41,14,NA,NA
"MV",0,0,26,0,26,0,1,0,0,1,44.24124,11.207993,"IT","Feiner_Uller",3.875,16,0.35625,16,NA,NA
"MZ",8,0,14,2,24,0.333333333333333,0.583333333333333,0.0833333333333333,0,3,45.47677,11.05915,NA,"Feiner_Uller",1.4,15,0.09898,15,NA,NA
"NL",5,2,22,4,33,0.151515151515152,0.666666666666667,0.121212121212121,0.0606060606060606,3,44.206279,8.414208,"SA","Feiner_Uller",2.36842105263158,19,0.2375,19,NA,NA
"NO",0,0,26,0,26,0,1,0,0,1,44.67887,11.04116,"Hybrid","Feiner_Uller",6.6,15,0.462113333333333,15,NA,NA
"OL",1,0,8,3,12,0.0833333333333333,0.666666666666667,0.25,0,3,44.30501,10.78226,"Hybrid","Feiner_Uller",4.375,8,0.36212,8,NA,NA
"OT",9,0,18,0,27,0.333333333333333,0.666666666666667,0,0,2,44.623977,9.33166,"SA","Feiner_Uller",3.46666666666667,15,0.170666666666667,15,NA,NA
"OV",0,0,35,4,39,0,0.897435897435897,0.102564102564103,0,2,42.130023,12.9339,"IT","Feiner_Uller",2.82352941176471,17,0.34421051318146,17,NA,NA
"PA",0,0,27,0,27,0,1,0,0,1,44.189308,10.481565,"Hybrid","Feiner_Uller",3.44444444444444,18,0.347777777777778,18,NA,NA
"PB",1,0,34,0,35,0.0285714285714286,0.971428571428571,0,0,2,44.4154,9.4435,"SA","Feiner_Uller",5.33333333333333,18,0.262907787211282,18,NA,NA
"PE",0,0,34,0,34,0,1,0,0,1,43.544483,10.720143,"IT","Feiner_Uller",7.375,32,0.5375,32,NA,NA
"PG",2,0,16,9,27,0.0740740740740741,0.592592592592593,0.333333333333333,0,3,44.733188,9.925456,"SA","Feiner_Uller",1.69230769230769,13,0.32,13,NA,NA
"PGM",3,0,85,0,88,0.0340909090909091,0.965909090909091,0,0,2,42.1863305,12.8771192,"IT","Feiner_Uller",4.85915492957746,71,0.368929460798532,71,NA,NA
"PI",3,1,15,6,25,0.12,0.6,0.24,0.04,3,44.819758,9.502937,"SA","Feiner_Uller",1.92307692307692,13,0.302307692307692,13,NA,NA
"PL",10,2,23,2,37,0.27027027027027,0.621621621621622,0.0540540540540541,0.0540540540540541,3,42.289937,13.296673,"IT","Feiner_Uller",1.21,20,0.21,20,NA,NA
"PM",0,0,30,0,30,0,1,0,0,1,44.377663,9.881746,"SA","Feiner_Uller",6.76470588235294,17,0.44,17,NA,NA
"PN",2,0,17,1,20,0.1,0.85,0.05,0,3,44.539792,9.602503,"SA","Feiner_Uller",3.58333333333333,12,0.258333333333333,12,NA,NA
"POR",0,0,15,0,15,0,1,0,0,1,42.9107,11.4082,"IT","Feiner_Uller",8.33333333333333,6,0.466890797592168,6,NA,NA
"PP",0,0,21,0,21,0,1,0,0,1,43.6968,11.5298,"IT","Feiner_Uller",6.07692307692308,13,0.407683183559237,13,NA,NA
"PR",0,0,30,0,30,0,1,0,0,1,43.89949,11.10575,"IT","Feiner_Uller",7.07142857142857,14,0.447142857142857,14,NA,NA
"PS",0,0,36,0,36,0,1,0,0,1,42.056475,12.751177,"IT","Feiner_Uller",7.7,20,0.532570300951347,20,NA,NA
"PSC",1,0,24,0,25,0.04,0.96,0,0,2,44.03485278,10.27333333,"Hybrid","Feiner_Uller",4.42857142857143,14,0.37493736262096,14,NA,NA
"PSL",0,0,48,0,48,0,1,0,0,1,42.2503,12.8415,"IT","Feiner_Uller",5.53333333333333,30,0.425606855727949,30,NA,NA
"PSO",0,0,12,0,12,0,1,0,0,1,44.4509,9.4252,"SA","Feiner_Uller",6.875,8,0.305987461851894,8,NA,NA
"PT",0,0,32,0,32,0,1,0,0,1,44.00775,10.803696,"Hybrid","Feiner_Uller",4.6,15,0.396,15,NA,NA
"PV",0,0,22,0,22,0,1,0,0,1,44.33314,11.18937,"IT","Feiner_Uller",5.72727272727273,12,0.3890925,12,NA,NA
"PX",1,0,31,0,32,0.03125,0.96875,0,0,2,42.186729,12.997068,"IT","Feiner_Uller",4.5,12,0.295831849775125,12,NA,NA
"PZ",0,0,20,0,20,0,1,0,0,1,44.4435277777777,9.42063888888888,"SA","Feiner_Uller",8.1,10,0.257550218563725,10,NA,NA
"PZS",1,0,9,0,10,0.1,0.9,0,0,2,42.1575,12.963,"IT","Feiner_Uller",4.22222222222222,9,0.335781481901697,9,NA,NA
"QC",0,0,27,0,27,0,1,0,0,1,43.4493517,10.3892041,"IT","Feiner_Uller",8.75,16,0.61136430199132,16,NA,NA
"QM",0,0,11,0,11,0,1,0,0,1,44.03383611,10.2825,"Hybrid","Feiner_Uller",3.5,8,0.429721224258222,8,NA,NA
"RA",0,0,39,0,39,0,1,0,0,1,44.349446,9.233821,"SA","Feiner_Uller",8.14814814814815,28,0.326875,28,NA,NA
"RF",0,1,20,0,21,0,0.952380952380952,0,0.0476190476190476,1,44.472722124,9.45895201859,"SA","Feiner_Uller",2.57142857142857,14,0.29123355760463,14,NA,NA
"RG",0,0,25,0,25,0,1,0,0,1,44.169859,10.347005,"Hybrid","Feiner_Uller",4.53846153846154,13,0.346153846153846,13,NA,NA
"RI",0,0,26,0,26,0,1,0,0,1,42.3989,12.8505,"IT","Feiner_Uller",4.46666666666667,15,0.355988754857918,15,NA,NA
"RM",0,0,25,0,25,0,1,0,0,1,44.427781,9.317093,"SA","Feiner_Uller",6.8125,16,0.313823082221829,16,NA,NA
"RN",0,0,23,0,23,0,1,0,0,1,44.0046342,10.2729825,"Hybrid","Feiner_Uller",6.5625,16,0.370217596704016,16,NA,NA
"RO",0,0,18,0,18,0,1,0,0,1,41.858634,12.544189,"IT","Feiner_Uller",9,8,0.53515,8,NA,NA
"RT",0,0,23,2,25,0,0.92,0.08,0,2,44.472868,9.199563,"SA","Feiner_Uller",5.625,16,0.424666666666667,16,NA,NA
"SA",6,0,16,6,28,0.214285714285714,0.571428571428571,0.214285714285714,0,3,44.547268,9.451386,"SA","Feiner_Uller",3.23076923076923,13,0.223846153846154,13,NA,NA
"SAR",0,0,20,0,20,0,1,0,0,1,43.0743113,12.1205807,"IT","Feiner_Uller",7.38461538461539,13,0.377457304244935,13,NA,NA
"SCN",0,0,21,1,22,0,0.954545454545455,0.0454545454545455,0,2,42.1676,12.8204,"IT","Feiner_Uller",5.76923076923077,13,0.351116302451885,13,NA,NA
"SD",0,0,24,1,25,0,0.96,0.04,0,2,44.68643,8.672888,"SA","Feiner_Uller",2.46666666666667,15,0.222,15,NA,NA
"SF",0,0,26,0,26,0,1,0,0,1,42.8324,11.5846,"IT","Feiner_Uller",5.92857142857143,14,0.315744810229867,14,NA,NA
"SL",0,0,41,0,41,0,1,0,0,1,44.271417,9.409446,"SA","Feiner_Uller",8.1,20,0.399230769230769,20,NA,NA
"SM",1,0,22,6,29,0.0344827586206897,0.758620689655172,0.206896551724138,0,3,44.390615,8.515482,"SA","Feiner_Uller",4.14285714285714,14,0.345,14,NA,NA
"SMA",0,0,46,0,46,0,1,0,0,1,42.0703218,11.9543266,"IT","Feiner_Uller",9.04347826086956,23,0.457291591390083,23,NA,NA
"SO",0,0,22,4,26,0,0.846153846153846,0.153846153846154,0,2,44.479469,8.490197,"SA","Feiner_Uller",2.26666666666667,15,0.376,15,NA,NA
"SR",8,3,9,5,25,0.32,0.36,0.2,0.12,3,43.818329,7.772901,"SA","Feiner_Uller",1.6875,16,0.135,16,"Y",NA
"SS",0,0,33,0,33,0,1,0,0,1,44.288253,10.193174,"Hybrid","Feiner_Uller",6.36842105263158,19,0.355263157894737,19,NA,NA
