"abbpop","orange","orange_yellow","white","yellow","totalN","freqO","freqW","freqY","freqOY","morph_no","Latitude","Longitude","lineage","Source","Green","sample_sizeG","black","sample_sizeB","fixed_brown","Notes"
"R44",21,11,19,12,63,0.333333333333333,0.301587301587302,0.19047619047619,0.174603174603175,3,45.2358258599124,9.23029299653456,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R45",0,0,10,0,10,0,1,0,0,1,45.2455039841638,9.22504399046715,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R46",35,12,88,24,159,0.220125786163522,0.553459119496855,0.150943396226415,0.0754716981132075,3,45.8584072257377,9.15867661875673,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R47",3,0,3,4,10,0.3,0.3,0.4,0,3,45.6724531075021,9.12959644258166,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R48",0,0,11,0,11,0,1,0,0,1,44.3224210549142,9.21052520759052,"SA","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R49",0,0,10,0,10,0,1,0,0,1,43.7812735555461,10.6575791738753,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R5",0,0,10,0,10,0,1,0,0,1,44.3888849672185,9.16405814885708,"SA","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R50",4,1,5,2,12,0.333333333333333,0.416666666666667,0.166666666666667,0.0833333333333333,3,45.5312677334109,9.20143809362184,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R51",6,1,5,4,16,0.375,0.3125,0.25,0.0625,3,45.5284242351104,9.21094291437386,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R52",3,2,21,4,30,0.1,0.7,0.133333333333333,0.0666666666666667,3,45.7481691249356,8.95406442160055,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R53",25,6,162,70,263,0.0950570342205323,0.615969581749049,0.26615969581749,0.0228136882129278,3,45.1905348182019,9.15865591818904,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R54",3,1,28,11,43,0.0697674418604651,0.651162790697674,0.255813953488372,0.0232558139534884,3,45.1883498413044,9.15021007835679,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R55",4,0,27,19,50,0.08,0.54,0.38,0,3,45.1849825950315,9.16377024864665,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R56",21,12,112,41,186,0.112903225806452,0.602150537634409,0.220430107526882,0.0645161290322581,3,45.1811882923664,9.15414967625297,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R57",8,0,20,6,34,0.235294117647059,0.588235294117647,0.176470588235294,0,3,45.196323736754,9.1644011542201,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R58",1,0,22,0,23,0.0434782608695652,0.956521739130435,0,0,2,44.9759144248402,11.1165439332054,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R59",2,0,15,2,19,0.105263157894737,0.789473684210526,0.105263157894737,0,3,45.0697817709431,11.7901587858881,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R6",8,7,6,8,29,0.275862068965517,0.206896551724138,0.275862068965517,0.241379310344828,3,45.5819871012517,9.22170570594295,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R60",0,0,25,0,25,0,1,0,0,1,44.6185266740382,10.7230865517585,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R61",0,0,12,0,12,0,1,0,0,1,44.2943643417039,9.43243214367863,"SA","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R62",4,1,9,9,23,0.173913043478261,0.391304347826087,0.391304347826087,0.0434782608695652,3,45.7205888555685,9.17113601531264,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R63",5,2,8,7,22,0.227272727272727,0.363636363636364,0.318181818181818,0.0909090909090909,3,45.6863412705485,9.14471801755634,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R64",3,2,13,7,25,0.12,0.52,0.28,0.08,3,45.776538632247,9.12093626228766,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R65",9,1,3,4,17,0.529411764705882,0.176470588235294,0.235294117647059,0.0588235294117647,3,45.6153295666218,9.11638236405114,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R66",1,3,7,1,12,0.0833333333333333,0.583333333333333,0.0833333333333333,0.25,3,45.6302907845823,9.18918127816508,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R67",4,0,15,3,22,0.181818181818182,0.681818181818182,0.136363636363636,0,3,44.9926881807638,10.7371443878095,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R68",3,3,3,2,11,0.272727272727273,0.272727272727273,0.181818181818182,0.272727272727273,3,46.1708742312542,10.0685623909572,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R69",0,0,10,0,10,0,1,0,0,1,43.8431046326078,10.2628046257566,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R7",3,0,18,0,21,0.142857142857143,0.857142857142857,0,0,2,44.8858877272441,11.4224877392207,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R70",1,0,14,0,15,0.0666666666666667,0.933333333333333,0,0,2,45.1587750895677,11.3530092726286,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R71",6,2,1,6,15,0.4,0.0666666666666667,0.4,0.133333333333333,3,45.402511060182,9.46275625359576,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R72",5,0,7,1,13,0.384615384615385,0.538461538461538,0.0769230769230769,0,3,42.6922896769406,13.2445086944029,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R73",13,0,11,1,25,0.52,0.44,0.04,0,3,41.9954175843583,14.0708001757344,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R74",9,0,16,0,25,0.36,0.64,0,0,2,40.7834734691686,14.9547621010364,"SI","Sacchi_etal",NA,NA,NA,NA,"Y","SI lineage"
"R75",9,0,8,1,18,0.5,0.444444444444444,0.0555555555555556,0,3,40.2839583959616,15.360695733611,"SI","Sacchi_etal",NA,NA,NA,NA,"Y","SI lineage"
"R76",1,0,16,0,17,0.0588235294117647,0.941176470588235,0,0,2,40.4994550639125,15.3865479151809,"SI","Sacchi_etal",NA,NA,NA,NA,"Y","SI lineage"
"R78",0,0,28,1,29,0,0.96551724137931,0.0344827586206897,0,2,41.4944672647816,14.0068813896068,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R79",0,0,23,0,23,0,1,0,0,1,43.5175573560975,13.2540180032166,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R80",0,0,34,1,35,0,0.971428571428571,0.0285714285714286,0,2,43.4879746642196,13.4732421797333,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R81",0,0,27,0,27,0,1,0,0,1,43.4473883093305,13.013542455032,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R82",0,0,25,0,25,0,1,0,0,1,43.1719920335776,13.7408507125281,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R83",4,0,22,0,26,0.153846153846154,0.846153846153846,0,0,2,41.7166987038374,14.0691160102528,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R86",0,0,17,1,18,0,0.944444444444444,0.0555555555555556,0,2,42.158366821443,12.1333441447808,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R87",4,0,13,1,18,0.222222222222222,0.722222222222222,0.0555555555555556,0,3,39.9874489904454,16.2421684408639,"SI","Sacchi_etal",NA,NA,NA,NA,"Y","SI lineage"
"R88",0,0,25,1,26,0,0.961538461538462,0.0384615384615385,0,2,45.7795772086652,12.7996163572233,NA,"Sacchi_etal",NA,NA,NA,NA,"Y","unclear lineage"
"R89",2,0,22,0,24,0.0833333333333333,0.916666666666667,0,0,2,41.4924306388291,14.3496557188209,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R9",34,0,142,29,205,0.165853658536585,0.692682926829268,0.141463414634146,0,3,45.1868895386262,9.10340044619582,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R90",0,0,13,0,13,0,1,0,0,1,44.0616961037134,12.4435615289307,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R91",5,0,11,0,16,0.3125,0.6875,0,0,2,45.6815828364639,13.9690168737926,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R93",4,0,14,4,22,0.181818181818182,0.636363636363636,0.181818181818182,0,3,45.5487574731313,13.7273381596273,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
